number_votes,share_votes,district,affiliation
21222,39.32 %,Budapest X. kerület,FIDESZ-KDNP
1139,2.11 %,Budapest X. kerület,MOMENTUM
114,0.21 %,Budapest X. kerület,MIÉP
22010,40.78 %,Budapest X. kerület,MSZP-PÁRBESZÉD
223,0.41 %,Budapest X. kerület,MUNKÁSPÁRT
34,0.06 %,Budapest X. kerület,LENDÜLETTEL
5437,10.07 %,Budapest X. kerület,JOBBIK
3522,6.53 %,Budapest X. kerület,LMP
68,0.13 %,Budapest X. kerület,NEMZET ÉS BÉKE
68,0.13 %,Budapest X. kerület,HAJRÁ MAGYARORSZÁG!
33412,56.48 %,Budapest XIII. kerület,MSZP-PÁRBESZÉD
1337,2.26 %,Budapest XIII. kerület,MKKP
2447,4.14 %,Budapest XIII. kerület,LMP
1520,2.57 %,Budapest XIII. kerület,MOMENTUM
16854,28.49 %,Budapest XIII. kerület,FIDESZ-KDNP
3591,6.07 %,Budapest XIII. kerület,JOBBIK
1044,1.8 %,Budapest II. kerület,MKKP
5848,10.1 %,Budapest II. kerület,LMP
0,0.0 %,Budapest II. kerület,EGYÜTT
167,0.29 %,Budapest II. kerület,MUNKÁSPÁRT
1538,2.66 %,Budapest II. kerület,MOMENTUM
24208,41.82 %,Budapest II. kerület,FIDESZ-KDNP
3585,6.19 %,Budapest II. kerület,JOBBIK
21496,37.14 %,Budapest II. kerület,DK
20598,45.85 %,Budapest VII. kerület,DK
3055,6.8 %,Budapest VII. kerület,LMP
0,0.0 %,Budapest VII. kerület,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
16687,37.14 %,Budapest VII. kerület,FIDESZ-KDNP
1414,3.15 %,Budapest VII. kerület,MKKP
0,0.0 %,Budapest VII. kerület,MOMENTUM
3171,7.06 %,Budapest VII. kerület,JOBBIK
2582,5.56 %,Budapest VIII. kerület,LMP
0,0.0 %,Budapest VIII. kerület,KÖZÖS NEVEZŐ
1454,3.13 %,Budapest VIII. kerület,EGYÜTT
105,0.23 %,Budapest VIII. kerület,MIÉP
222,0.48 %,Budapest VIII. kerület,MUNKÁSPÁRT
1190,2.56 %,Budapest VIII. kerület,MOMENTUM
6001,12.92 %,Budapest VIII. kerület,JOBBIK
39,0.08 %,Budapest VIII. kerület,KÖSSZ
33,0.07 %,Budapest VIII. kerület,IRÁNYTŰ
1065,2.29 %,Budapest VIII. kerület,MKKP
14947,32.17 %,Budapest VIII. kerület,DK
18818,40.51 %,Budapest VIII. kerület,FIDESZ-KDNP
276,0.6 %,Kiskunhalas,Független jelölt
2685,5.87 %,Kiskunhalas,DK
0,0.0 %,Kiskunhalas,KEDN
57,0.12 %,Kiskunhalas,KÖSSZ
1059,2.32 %,Kiskunhalas,LMP
25535,55.85 %,Kiskunhalas,FIDESZ-KDNP
0,0.0 %,Kiskunhalas,TENNI AKARÁS MOZGALOM
15219,33.28 %,Kiskunhalas,JOBBIK
34,0.07 %,Kiskunhalas,ÉRTÜNK ÉRTETEK
244,0.53 %,Kiskunhalas,ÚMF
149,0.33 %,Kiskunhalas,SEM
466,1.02 %,Kiskunhalas,MOMENTUM
0,0.0 %,Budapest XII. kerület,EGYÜTT
3142,5.79 %,Budapest XII. kerület,JOBBIK
1530,2.82 %,Budapest XII. kerület,MKKP
23173,42.71 %,Budapest XII. kerület,FIDESZ-KDNP
1449,2.67 %,Budapest XII. kerület,MOMENTUM
21176,39.03 %,Budapest XII. kerület,DK
3787,6.98 %,Budapest XII. kerület,LMP
248,0.45 %,Budapest XI. kerület,MUNKÁSPÁRT
990,1.78 %,Budapest XI. kerület,MKKP
3384,6.1 %,Budapest XI. kerület,LMP
22494,40.53 %,Budapest XI. kerület,DK
23403,42.16 %,Budapest XI. kerület,FIDESZ-KDNP
3252,5.86 %,Budapest XI. kerület,JOBBIK
1540,2.77 %,Budapest XI. kerület,MOMENTUM
0,0.0 %,Budapest XI. kerület,EGYÜTT
195,0.35 %,Budapest XI. kerület,SEM
5855,12.15 %,Kiskunfélegyháza,MSZP-PÁRBESZÉD
84,0.17 %,Kiskunfélegyháza,MIÉP
61,0.13 %,Kiskunfélegyháza,MEDETE PÁRT
247,0.51 %,Kiskunfélegyháza,CSP
545,1.13 %,Kiskunfélegyháza,MOMENTUM
29025,60.21 %,Kiskunfélegyháza,FIDESZ-KDNP
10166,21.09 %,Kiskunfélegyháza,JOBBIK
96,0.2 %,Kiskunfélegyháza,MUNKÁSPÁRT
678,1.41 %,Kiskunfélegyháza,MKKP
1410,2.92 %,Kiskunfélegyháza,LMP
40,0.08 %,Kiskunfélegyháza,ÖSSZEFOGÁS PÁRT
70,0.13 %,Balatonfüred,HAZA MINDENKIÉ
69,0.13 %,Balatonfüred,TENNI AKARÁS MOZGALOM
417,0.8 %,Balatonfüred,CSP
0,0.0 %,Balatonfüred,LMP
94,0.18 %,Balatonfüred,KÖSSZ
112,0.22 %,Balatonfüred,DEMOKRATA PÁRT
17735,34.16 %,Balatonfüred,JOBBIK
128,0.25 %,Balatonfüred,ÉBMP
83,0.16 %,Balatonfüred,ÉRTÜNK ÉRTETEK
79,0.15 %,Balatonfüred,ÖSSZEFOGÁS PÁRT
23,0.04 %,Balatonfüred,NEMZET ÉS BÉKE
5473,10.54 %,Balatonfüred,DK
26280,50.63 %,Balatonfüred,FIDESZ-KDNP
1276,2.46 %,Balatonfüred,MOMENTUM
71,0.14 %,Balatonfüred,OP
7054,13.27 %,Veszprém,JOBBIK
25920,48.75 %,Veszprém,FIDESZ-KDNP
818,1.54 %,Veszprém,MKKP
16688,31.39 %,Veszprém,Független jelölt
130,0.24 %,Veszprém,ÖSSZEFOGÁS PÁRT
744,1.4 %,Veszprém,MOMENTUM
1811,3.41 %,Veszprém,LMP
242,0.47 %,Keszthely,FKGP
2115,4.1 %,Keszthely,LMP
351,0.68 %,Keszthely,EGYÜTT
14595,28.31 %,Keszthely,JOBBIK
4245,8.23 %,Keszthely,DK
39,0.08 %,Keszthely,ECDP
38,0.07 %,Keszthely,KÖSSZ
78,0.15 %,Keszthely,HAJRÁ MAGYARORSZÁG!
1095,2.12 %,Keszthely,MOMENTUM
28617,55.51 %,Keszthely,FIDESZ-KDNP
140,0.27 %,Keszthely,SZEM PÁRT
96,0.19 %,Nagykanizsa,EP
17840,34.6 %,Nagykanizsa,JOBBIK
751,1.46 %,Nagykanizsa,MOMENTUM
209,0.41 %,Nagykanizsa,CSP
22,0.04 %,Nagykanizsa,ECDP
82,0.16 %,Nagykanizsa,ÖSSZEFOGÁS PÁRT
5136,9.96 %,Nagykanizsa,DK
56,0.11 %,Nagykanizsa,SZEM PÁRT
50,0.1 %,Nagykanizsa,MCP
152,0.29 %,Nagykanizsa,KÖSSZ
18,0.03 %,Nagykanizsa,NOP
50,0.1 %,Nagykanizsa,EU.ROM
1863,3.61 %,Nagykanizsa,LMP
25161,48.79 %,Nagykanizsa,FIDESZ-KDNP
81,0.16 %,Nagykanizsa,MEDETE PÁRT
576,1.18 %,Tapolca,MKKP
35,0.07 %,Tapolca,ÖSSZEFOGÁS PÁRT
52,0.11 %,Tapolca,SZEM PÁRT
0,0.0 %,Tapolca,MIÉP
3992,8.2 %,Tapolca,MSZP-PÁRBESZÉD
87,0.18 %,Tapolca,MUNKÁSPÁRT
22838,46.91 %,Tapolca,FIDESZ-KDNP
40,0.08 %,Tapolca,MEDETE PÁRT
10,0.02 %,Tapolca,IMA
130,0.27 %,Tapolca,CSP
19748,40.56 %,Tapolca,JOBBIK
70,0.14 %,Tapolca,HAJRÁ MAGYARORSZÁG!
1107,2.27 %,Tapolca,LMP
169,0.29 %,Zalaegerszeg,SZEM PÁRT
12616,21.89 %,Zalaegerszeg,JOBBIK
8895,15.43 %,Zalaegerszeg,MSZP-PÁRBESZÉD
2918,5.06 %,Zalaegerszeg,LMP
22,0.04 %,Zalaegerszeg,ECDP
912,1.58 %,Zalaegerszeg,MOMENTUM
58,0.1 %,Zalaegerszeg,IRÁNYTŰ
63,0.11 %,Zalaegerszeg,TAMP
1490,2.59 %,Zalaegerszeg,Független jelölt
60,0.1 %,Zalaegerszeg,MCP
30433,52.8 %,Zalaegerszeg,FIDESZ-KDNP
1063,2.17 %,Pápa,LMP
94,0.19 %,Pápa,OP
28557,58.34 %,Pápa,FIDESZ-KDNP
411,0.84 %,Pápa,MOMENTUM
24,0.05 %,Pápa,ÖSSZEFOGÁS PÁRT
63,0.13 %,Pápa,SZEM PÁRT
35,0.07 %,Pápa,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
0,0.0 %,Pápa,HAM
25,0.05 %,Pápa,IMA
41,0.08 %,Pápa,IRÁNYTŰ
150,0.31 %,Pápa,CSP
13,0.03 %,Pápa,JÓ ÚT MPP
11914,24.34 %,Pápa,JOBBIK
0,0.0 %,Pápa,SEM
39,0.08 %,Pápa,MCP
6519,13.32 %,Pápa,MSZP-PÁRBESZÉD
34,0.07 %,Körmend,REND PÁRT
30,0.06 %,Körmend,MEDETE PÁRT
54,0.11 %,Körmend,HAJRÁ MAGYARORSZÁG!
15,0.03 %,Körmend,TAMP
1526,3.13 %,Körmend,LMP
19,0.04 %,Körmend,ÉRTÜNK ÉRTETEK
45,0.09 %,Körmend,KÖSSZ
32,0.07 %,Körmend,MCP
187,0.38 %,Körmend,CSP
39,0.08 %,Körmend,KÖZÖS NEVEZŐ
0,0.0 %,Körmend,HAM
0,0.0 %,Körmend,EMMO
30970,63.52 %,Körmend,FIDESZ-KDNP
506,1.04 %,Körmend,MOMENTUM
41,0.08 %,Körmend,EP
2093,4.29 %,Körmend,DK
48,0.1 %,Körmend,SZEM PÁRT
19,0.04 %,Körmend,ÖSSZEFOGÁS PÁRT
30,0.06 %,Körmend,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
13072,26.81 %,Körmend,JOBBIK
125,0.3 %,Szekszárd,MISZEP
0,0.0 %,Szekszárd,HAM
0,0.0 %,Szekszárd,MOMENTUM
21477,51.56 %,Szekszárd,FIDESZ-KDNP
159,0.38 %,Szekszárd,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
41,0.1 %,Szekszárd,IMA
0,0.0 %,Szekszárd,MSZP-PÁRBESZÉD
14896,35.76 %,Szekszárd,LMP
0,0.0 %,Szekszárd,KÖSSZ
62,0.15 %,Szekszárd,IRÁNYTŰ
137,0.33 %,Szekszárd,SEM
3899,9.36 %,Szekszárd,JOBBIK
256,0.61 %,Szekszárd,ÚMF
601,1.44 %,Szekszárd,MKKP
31,0.06 %,Szombathely,NP
69,0.13 %,Szombathely,HAJRÁ MAGYARORSZÁG!
23,0.04 %,Szombathely,MCP
34,0.07 %,Szombathely,KÖZÖS NEVEZŐ
6576,12.58 %,Szombathely,JOBBIK
23,0.04 %,Szombathely,ÖSSZEFOGÁS PÁRT
15950,30.52 %,Szombathely,MSZP-PÁRBESZÉD
32,0.06 %,Szombathely,KÖSSZ
26086,49.92 %,Szombathely,FIDESZ-KDNP
66,0.13 %,Szombathely,SZEM PÁRT
1854,3.55 %,Szombathely,LMP
748,1.43 %,Szombathely,MKKP
610,1.17 %,Szombathely,MOMENTUM
125,0.24 %,Szombathely,CSP
0,0.0 %,Szombathely,Független jelölt
27,0.05 %,Szombathely,MEDETE PÁRT
104,0.22 %,Nyírbátor,MIÉP
37,0.08 %,Nyírbátor,OXIGÉN PÁRT
39,0.08 %,Nyírbátor,OCP
26994,56.52 %,Nyírbátor,FIDESZ-KDNP
38,0.08 %,Nyírbátor,REND PÁRT
36,0.08 %,Nyírbátor,KÖSSZ
15,0.03 %,Nyírbátor,NP
27,0.06 %,Nyírbátor,EMMO
28,0.06 %,Nyírbátor,EU.ROM
691,1.45 %,Nyírbátor,LMP
98,0.21 %,Nyírbátor,MCP
151,0.32 %,Nyírbátor,KÖZÖS NEVEZŐ
67,0.14 %,Nyírbátor,TENNI AKARÁS MOZGALOM
345,0.72 %,Nyírbátor,MOMENTUM
9302,19.48 %,Nyírbátor,MSZP-PÁRBESZÉD
9696,20.3 %,Nyírbátor,JOBBIK
30,0.06 %,Nyírbátor,TAMP
59,0.12 %,Nyírbátor,IRÁNYTŰ
216,0.42 %,Sárvár,CSP
31226,61.38 %,Sárvár,FIDESZ-KDNP
104,0.2 %,Sárvár,ÖSSZEFOGÁS PÁRT
9278,18.24 %,Sárvár,JOBBIK
7110,13.98 %,Sárvár,MSZP-PÁRBESZÉD
1826,3.59 %,Sárvár,LMP
88,0.17 %,Sárvár,SZEM PÁRT
31,0.06 %,Sárvár,MCP
137,0.27 %,Sárvár,MIÉP
54,0.11 %,Sárvár,KÖZÖS NEVEZŐ
677,1.33 %,Sárvár,MOMENTUM
56,0.11 %,Sárvár,KÖSSZ
73,0.14 %,Sárvár,MEDETE PÁRT
142,0.35 %,Paks,MIÉP
51,0.12 %,Paks,ÖSSZEFOGÁS PÁRT
23605,57.78 %,Paks,FIDESZ-KDNP
9,0.02 %,Paks,ECDP
22,0.05 %,Paks,ÉBMP
29,0.07 %,Paks,HAJRÁ MAGYARORSZÁG!
1259,3.08 %,Paks,LMP
527,1.29 %,Paks,MOMENTUM
19,0.05 %,Paks,NP
18,0.04 %,Paks,TAMP
23,0.06 %,Paks,KEDN
70,0.17 %,Paks,ÉRTÜNK ÉRTETEK
34,0.08 %,Paks,MISZEP
56,0.14 %,Paks,KÖZÖS NEVEZŐ
26,0.06 %,Paks,IRÁNYTŰ
4806,11.76 %,Paks,MSZP-PÁRBESZÉD
35,0.09 %,Paks,SZEM PÁRT
15,0.04 %,Paks,TENNI AKARÁS MOZGALOM
0,0.0 %,Paks,HAM
21,0.05 %,Paks,EU.ROM
151,0.37 %,Paks,MUNKÁSPÁRT
9900,24.23 %,Paks,JOBBIK
36,0.09 %,Paks,MCP
864,1.79 %,Mátészalka,LMP
35,0.07 %,Mátészalka,REND PÁRT
130,0.27 %,Mátészalka,CSP
319,0.66 %,Mátészalka,MOMENTUM
28294,58.55 %,Mátészalka,FIDESZ-KDNP
15897,32.9 %,Mátészalka,JOBBIK
163,0.34 %,Mátészalka,MUNKÁSPÁRT
32,0.07 %,Mátészalka,A HAZA PÁRTJA
72,0.15 %,Mátészalka,MIÉP
20,0.04 %,Mátészalka,NP
97,0.2 %,Mátészalka,MEDETE PÁRT
23,0.05 %,Mátészalka,TENNI AKARÁS MOZGALOM
79,0.16 %,Mátészalka,KÖZÖS NEVEZŐ
28,0.06 %,Mátészalka,ÖSSZEFOGÁS PÁRT
104,0.22 %,Mátészalka,MMM
19,0.04 %,Mátészalka,TAMP
2032,4.2 %,Mátészalka,DK
9,0.02 %,Mátészalka,EMMO
54,0.11 %,Mátészalka,MISZEP
55,0.11 %,Mátészalka,EU.ROM
39,0.1 %,Dombóvár,ECDP
22,0.05 %,Dombóvár,HAM
38,0.09 %,Dombóvár,IMA
337,0.82 %,Dombóvár,FKGP
1966,4.81 %,Dombóvár,LMP
468,1.14 %,Dombóvár,MOMENTUM
23910,58.45 %,Dombóvár,FIDESZ-KDNP
93,0.23 %,Dombóvár,SZEM PÁRT
101,0.25 %,Dombóvár,MISZEP
21,0.05 %,Dombóvár,EU.ROM
72,0.18 %,Dombóvár,ÖSSZEFOGÁS PÁRT
10127,24.76 %,Dombóvár,JOBBIK
3468,8.48 %,Dombóvár,DK
202,0.49 %,Dombóvár,CSP
41,0.1 %,Dombóvár,MCP
22,0.04 %,Vásárosnamény,EP
241,0.48 %,Vásárosnamény,MOMENTUM
29865,59.75 %,Vásárosnamény,FIDESZ-KDNP
34,0.07 %,Vásárosnamény,ÖSSZEFOGÁS PÁRT
25,0.05 %,Vásárosnamény,A HAZA PÁRTJA
12,0.02 %,Vásárosnamény,NP
71,0.14 %,Vásárosnamény,MCP
4229,8.46 %,Vásárosnamény,MSZP-PÁRBESZÉD
319,0.64 %,Vásárosnamény,Független jelölt
46,0.09 %,Vásárosnamény,EGYÜTT
74,0.15 %,Vásárosnamény,CSP
17,0.03 %,Vásárosnamény,EU.ROM
43,0.09 %,Vásárosnamény,JMP
13641,27.29 %,Vásárosnamény,JOBBIK
461,0.92 %,Vásárosnamény,LMP
16,0.03 %,Vásárosnamény,IRÁNYTŰ
22,0.04 %,Vásárosnamény,OP
142,0.28 %,Vásárosnamény,MUNKÁSPÁRT
75,0.15 %,Vásárosnamény,DEMOKRATA PÁRT
45,0.09 %,Vásárosnamény,MIÉP
10,0.02 %,Vásárosnamény,TAMP
39,0.08 %,Vásárosnamény,SZEM PÁRT
361,0.72 %,Vásárosnamény,Független jelölt
41,0.08 %,Vásárosnamény,SEM
7,0.01 %,Vásárosnamény,TENNI AKARÁS MOZGALOM
42,0.08 %,Vásárosnamény,Független jelölt
50,0.1 %,Vásárosnamény,KÖSSZ
0,0.0 %,Vásárosnamény,EMMO
17,0.03 %,Vásárosnamény,MEDETE PÁRT
20,0.04 %,Vásárosnamény,HAZA MINDENKIÉ
838,1.55 %,Nyíregyháza,MOMENTUM
55,0.1 %,Nyíregyháza,MCP
110,0.2 %,Nyíregyháza,MIÉP
0,0.0 %,Nyíregyháza,EGYÜTT
18,0.03 %,Nyíregyháza,NP
353,0.65 %,Nyíregyháza,KÖZÖS NEVEZŐ
35,0.06 %,Nyíregyháza,REND PÁRT
10372,19.21 %,Nyíregyháza,JOBBIK
17725,32.83 %,Nyíregyháza,MSZP-PÁRBESZÉD
57,0.11 %,Nyíregyháza,ÖSSZEFOGÁS PÁRT
82,0.15 %,Nyíregyháza,A HAZA PÁRTJA
30,0.06 %,Nyíregyháza,KÖSSZ
21779,40.34 %,Nyíregyháza,FIDESZ-KDNP
670,1.24 %,Nyíregyháza,MKKP
1792,3.32 %,Nyíregyháza,LMP
73,0.14 %,Nyíregyháza,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
182,0.41 %,Kaposvár,LENDÜLETTEL
5700,12.79 %,Kaposvár,DK
999,2.24 %,Kaposvár,Független jelölt
0,0.0 %,Kaposvár,MISZEP
14206,31.89 %,Kaposvár,JOBBIK
41,0.09 %,Kaposvár,MCP
25,0.06 %,Kaposvár,HAJRÁ MAGYARORSZÁG!
183,0.41 %,Kaposvár,CSP
19466,43.69 %,Kaposvár,FIDESZ-KDNP
450,1.01 %,Kaposvár,EGYÜTT
277,0.62 %,Kaposvár,Független jelölt
2057,4.62 %,Kaposvár,LMP
54,0.12 %,Kaposvár,EU.ROM
47,0.11 %,Kaposvár,KÖSSZ
94,0.21 %,Kaposvár,Független jelölt
26,0.06 %,Kaposvár,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
743,1.67 %,Kaposvár,MOMENTUM
4909,10.5 %,Nyíregyháza,DK
22395,47.89 %,Nyíregyháza,FIDESZ-KDNP
493,1.05 %,Nyíregyháza,MOMENTUM
16393,35.05 %,Nyíregyháza,JOBBIK
1303,2.79 %,Nyíregyháza,LMP
34,0.07 %,Nyíregyháza,TENNI AKARÁS MOZGALOM
24,0.05 %,Nyíregyháza,EMMO
8,0.02 %,Nyíregyháza,ERP
24,0.05 %,Nyíregyháza,IMA
43,0.09 %,Nyíregyháza,EU.ROM
40,0.09 %,Nyíregyháza,KÖSSZ
129,0.28 %,Nyíregyháza,MCP
219,0.47 %,Nyíregyháza,Független jelölt
451,0.96 %,Nyíregyháza,MIÉP
77,0.16 %,Nyíregyháza,SEM
28,0.06 %,Nyíregyháza,OCP
23,0.05 %,Nyíregyháza,NP
24,0.05 %,Nyíregyháza,ÖSSZEFOGÁS PÁRT
37,0.08 %,Nyíregyháza,REND PÁRT
47,0.1 %,Nyíregyháza,A HAZA PÁRTJA
67,0.14 %,Nyíregyháza,KÖZÖS NEVEZŐ
32374,61.87 %,Kisvárda,FIDESZ-KDNP
30,0.06 %,Kisvárda,IMA
66,0.13 %,Kisvárda,TENNI AKARÁS MOZGALOM
46,0.09 %,Kisvárda,REND PÁRT
181,0.35 %,Kisvárda,MUNKÁSPÁRT
180,0.34 %,Kisvárda,Független jelölt
80,0.15 %,Kisvárda,MCP
39,0.07 %,Kisvárda,KÖSSZ
114,0.22 %,Kisvárda,KÖZÖS NEVEZŐ
2512,4.8 %,Kisvárda,DK
14513,27.74 %,Kisvárda,JOBBIK
0,0.0 %,Kisvárda,EMMO
49,0.09 %,Kisvárda,MEDETE PÁRT
127,0.24 %,Kisvárda,CSP
19,0.04 %,Kisvárda,IRÁNYTŰ
1239,2.37 %,Kisvárda,LMP
363,0.69 %,Kisvárda,MOMENTUM
19,0.04 %,Kisvárda,NP
27,0.05 %,Kisvárda,EU.ROM
33,0.06 %,Kisvárda,ÖSSZEFOGÁS PÁRT
211,0.4 %,Kisvárda,MIÉP
77,0.15 %,Kisvárda,MISZEP
15,0.03 %,Kisvárda,EU ALTERNATÍVA
11,0.02 %,Kisvárda,ERP
0,0.0 %,Marcali,MOMENTUM
357,0.85 %,Marcali,Független jelölt
78,0.18 %,Marcali,ÖSSZEFOGÁS PÁRT
38,0.09 %,Marcali,HAJRÁ MAGYARORSZÁG!
3029,7.17 %,Marcali,MSZP-PÁRBESZÉD
26,0.06 %,Marcali,EU.ROM
15695,37.18 %,Marcali,JOBBIK
835,1.98 %,Marcali,LMP
90,0.21 %,Marcali,SZEM PÁRT
87,0.21 %,Marcali,SEM
21892,51.85 %,Marcali,FIDESZ-KDNP
92,0.22 %,Marcali,MCP
29,0.07 %,Barcs,ECDP
20217,51.63 %,Barcs,FIDESZ-KDNP
2340,5.98 %,Barcs,DK
27,0.07 %,Barcs,IRÁNYTŰ
80,0.2 %,Barcs,CSP
46,0.12 %,Barcs,ÉRTÜNK ÉRTETEK
14951,38.18 %,Barcs,JOBBIK
99,0.25 %,Barcs,NEMZET ÉS BÉKE
42,0.11 %,Barcs,HAJRÁ MAGYARORSZÁG!
179,0.46 %,Barcs,MUNKÁSPÁRT
44,0.11 %,Barcs,MCP
36,0.09 %,Barcs,ÖSSZEFOGÁS PÁRT
787,2.01 %,Barcs,LMP
73,0.19 %,Barcs,OPRE ROMA
31,0.08 %,Barcs,KÖSSZ
14,0.04 %,Barcs,REND PÁRT
25,0.06 %,Barcs,EU.ROM
96,0.25 %,Barcs,EGYÜTT
40,0.1 %,Barcs,SZEM PÁRT
67,0.15 %,Siófok,KÖSSZ
27,0.06 %,Siófok,ÖSSZEFOGÁS PÁRT
44,0.1 %,Siófok,LENDÜLETTEL
325,0.72 %,Siófok,Független jelölt
8635,19.25 %,Siófok,JOBBIK
918,2.05 %,Siófok,LMP
11221,25.02 %,Siófok,MSZP-PÁRBESZÉD
478,1.07 %,Siófok,MOMENTUM
34,0.08 %,Siófok,OP
58,0.13 %,Siófok,MCP
19,0.04 %,Siófok,NP
52,0.12 %,Siófok,KÖZÖS NEVEZŐ
48,0.11 %,Siófok,HAJRÁ MAGYARORSZÁG!
22920,51.11 %,Siófok,FIDESZ-KDNP
588,1.22 %,Cegléd,MKKP
28,0.06 %,Cegléd,EMMO
37,0.08 %,Cegléd,REND PÁRT
0,0.0 %,Cegléd,KÖSSZ
42,0.09 %,Cegléd,ÉRTÜNK ÉRTETEK
24826,51.64 %,Cegléd,FIDESZ-KDNP
638,1.33 %,Cegléd,MOMENTUM
3372,7.01 %,Cegléd,DK
158,0.33 %,Cegléd,MUNKÁSPÁRT
16145,33.58 %,Cegléd,JOBBIK
